"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.890760248929029 -7.916826614286087
1.1 -7.930405447254558 -7.956111371063761
1.2 -7.956634323666329 -7.982238667012228
1.3 -7.973262003878463 -7.998979581053228
1.4 -7.983020568714746 -8.009018978399233
1.5 -7.987873153632112 -8.014278614964908
1.6 -7.989237289540197 -8.016143723824548
1.7 -7.988139396764359 -8.015619722701173
1.8 -7.985323303766637 -8.01344021391185
1.9 -7.981344601705606 -8.010141699727523
2.0 -7.9767245764058945 -8.006115912069946
2.1 -7.971367319302283 -8.001647369166935
2.2 -7.966552138740706 -7.99693412866314
2.3 -7.961615872827562 -7.992127704189878
2.4 -7.956651303512681 -7.987244178090228
2.5 -7.951724180239747 -7.982574667666129
2.6 -7.946882616141689 -7.978045830807724
2.7 -7.942163198133697 -7.973698134373237
2.8 -7.93759466554778 -7.9695613621232
2.9 -7.933199938328955 -7.965656909406671
3.0 -7.928997104853493 -7.961998960340036
