"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.882381954340032 -7.913980089523645
1.1 -7.922200805247963 -7.953383742318471
1.2 -7.94857770294211 -7.979630540296936
1.3 -7.965334952081136 -7.9963456167777345
1.4 -7.975201005877751 -8.006561744017418
1.5 -7.980132168165743 -8.011984238936872
1.6 -7.981540459561704 -8.013994940188734
1.7 -7.980452350473761 -8.013602142833221
1.8 -7.977619306445077 -8.011542137606618
1.9 -7.973595354909111 -8.00835340132789
2.0 -7.968792187970805 -8.004428823058754
2.1 -7.963519047494231 -8.000053230524403
2.2 -7.958012265025021 -7.995431448550157
2.3 -7.952457404134731 -7.990710015567379
2.4 -7.947005316537436 -7.985993951479474
2.5 -7.941782132180391 -7.981359238713229
2.6 -7.936892497236767 -7.976746056304791
2.7 -7.932415739209996 -7.9724051402659235
2.8 -7.9283966130022945 -7.968432183886582
2.9 -7.924835553453739 -7.964020744570319
3.0 -7.921685656142273 -7.960400285410435
