"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.885375221893576 -7.91618005899675
1.1 -7.925033355893618 -7.955451308221832
1.2 -7.951400549559469 -7.981560466030522
1.3 -7.968266159522718 -7.998272515771999
1.4 -7.978343305097337 -8.008278002345701
1.5 -7.983582795015664 -8.01355126275353
1.6 -7.985395104167432 -8.01545385061796
1.7 -7.984804585102755 -8.01497765169229
1.8 -7.9825562625835635 -8.012849739014879
1.9 -7.979190380121577 -8.009603083471731
2.0 -7.975095518656921 -8.005627385233105
2.1 -7.970547768250544 -8.001205939660498
2.2 -7.965740731211449 -7.996398941487105
2.3 -7.960808993726997 -7.991615248987582
2.4 -7.955846300801848 -7.986784208254575
2.5 -7.95091906997228 -7.982124280456675
2.6 -7.946075849809359 -7.977583573380087
2.7 -7.941353493631472 -7.973235091160394
2.8 -7.936780897453257 -7.969098317456196
2.9 -7.9323810792605585 -7.965194976548355
3.0 -7.928172207501303 -7.961539766608058
