"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.883026274370575 -7.914974315417625
1.1 -7.922802583636356 -7.954191124277716
1.2 -7.949146071887602 -7.980373664425055
1.3 -7.965873351425203 -7.997032480799925
1.4 -7.975709846664097 -8.007232523531014
1.5 -7.980610385659499 -8.01262906550986
1.6 -7.98198646030169 -8.014612011472119
1.7 -7.980864589945936 -8.014190330151868
1.8 -7.977996626225326 -8.011919958579732
1.9 -7.973937158113214 -8.008717625109796
2.0 -7.969098504290754 -8.004923594547755
2.1 -7.963790521665145 -8.000515614036207
2.2 -7.958250091901987 -7.995862235227217
2.3 -7.95266322954603 -7.991110975667259
2.4 -7.94718112480698 -7.986367363925106
2.5 -7.941930145296077 -7.9817072286508814
2.6 -7.937015111246196 -7.977185584150727
2.7 -7.9325155130647484 -7.972842804834206
2.8 -7.92847629846911 -7.968708707853396
2.9 -7.924898119184725 -7.964804972560928
3.0 -7.921734242291343 -7.96079715710875
