"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.881612892781048 -7.897162805800693
1.1 -7.921427462566947 -7.936535679798037
1.2 -7.947789935885313 -7.962707262996455
1.3 -7.964520556071266 -7.979492254388878
1.4 -7.974345674434572 -7.98960429450241
1.5 -7.97921935869601 -7.994980236872177
1.6 -7.980550470935234 -7.997008050951006
1.7 -7.979360668151573 -7.996686106636934
1.8 -7.976394250554583 -7.994735033109051
1.9 -7.972194941063612 -7.991676592031701
2.0 -7.9671600224532 -7.98788937229661
2.1 -7.961579054305763 -7.983648318839534
2.2 -7.955662137050957 -7.9791531406232545
2.3 -7.949560994436007 -7.974549038425971
2.4 -7.943384887812949 -7.969941948046248
2.5 -7.937212562781709 -7.965409631361158
2.6 -7.931101022204911 -7.961009529234655
2.7 -7.925091778767323 -7.956784099286821
2.8 -7.919215195244012 -7.95276426178422
2.9 -7.913493458757996 -7.948971492267648
3.0 -7.907942631612222 -7.94541903250218
