"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.881612892781048 -7.912950107447062
1.1 -7.921427462566947 -7.952504102935766
1.2 -7.947789935885313 -7.978869143956147
1.3 -7.964520556071266 -7.995822038730079
1.4 -7.974345674434572 -8.006050684046473
1.5 -7.97921935869601 -8.011479885218275
1.6 -7.980550470935234 -8.013497784959325
1.7 -7.979360668151573 -8.013112087843785
1.8 -7.976394250554583 -8.011058067915542
1.9 -7.972194941063612 -8.007873800427033
2.0 -7.9671600224532 -8.003952952651591
2.1 -7.961579054305763 -7.9995818929224605
2.2 -7.955662137050957 -7.994966442393808
2.3 -7.949560994436007 -7.990252815344531
2.4 -7.943384887812949 -7.9855447684060445
2.5 -7.937212562781709 -7.980916856479259
2.6 -7.931101022204911 -7.976423755943809
2.7 -7.925091778767323 -7.972106306404976
2.8 -7.919215195244012 -7.96799512600588
2.9 -7.913493458757996 -7.964112517668771
3.0 -7.907942631612222 -7.96047325311771
