"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.891620365224243 -7.916900344432549
1.1 -7.931164822852471 -7.95618026635821
1.2 -7.957309598494002 -7.982304649452363
1.3 -7.973868672700648 -7.9990437190389345
1.4 -7.983572349909957 -8.009081944592866
1.5 -7.988381840550149 -8.014340937490429
1.6 -7.989712805442834 -8.016205928880296
1.7 -7.988589919227879 -8.0156824063801
1.8 -7.985755408518725 -8.013504053845185
1.9 -7.981763412184969 -8.010207403758573
2.0 -7.97713397504355 -8.006184115579796
2.1 -7.97257466670782 -8.001718502867654
2.2 -7.968464816608451 -7.997015396591164
2.3 -7.964261122823144 -7.992221419847366
2.4 -7.959679961723571 -7.987405822208076
2.5 -7.954831076659671 -7.982721256395572
2.6 -7.949863043351381 -7.978179579683488
2.7 -7.944885634127045 -7.973821173995339
2.8 -7.939977221764322 -7.969675703433884
2.9 -7.9351978892041215 -7.965764415928644
3.0 -7.930598178093633 -7.962101326775661
