"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.883650968006861 -7.9158185722438095
1.1 -7.923385780232623 -7.9550327339471645
1.2 -7.949696734824863 -7.980841672528332
1.3 -7.966394905745812 -7.997662184680637
1.4 -7.976202759351299 -8.007762044774331
1.5 -7.981073677420981 -8.013094826286626
1.6 -7.982418626888561 -8.01503653191234
1.7 -7.981264162439948 -8.01458698043735
1.8 -7.978362497213167 -8.012477624798432
1.9 -7.974268751620666 -8.009244074700087
2.0 -7.969395839829522 -8.005277700151252
2.1 -7.964054205213506 -8.00086287795677
2.2 -7.958481255926316 -7.996204719997092
2.3 -7.952863440114466 -7.991450253595861
2.4 -7.94735227556408 -7.986704682373869
2.5 -7.942074362203069 -7.982043614149886
2.6 -7.937134692799782 -7.977170937308986
2.7 -7.932612920839621 -7.972738369097717
2.8 -7.928554187090239 -7.969047101736317
2.9 -7.924959360278811 -7.965145309863567
3.0 -7.921781880532991 -7.961282213787039
