"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.903154169537104 -7.916935130624373
1.1 -7.942410038136628 -7.956211632801871
1.2 -7.968546832475004 -7.982333311359899
1.3 -7.985313661287311 -7.999070350246362
1.4 -7.995378613841724 -8.009107050770673
1.5 -8.000656308591932 -8.014364854982302
1.6 -8.002532265607332 -8.016228867036304
1.7 -8.002014783664778 -8.015704496786544
1.8 -7.999840119746034 -8.01352540295182
1.9 -7.996546469868616 -8.010228147059582
2.0 -7.992526257537967 -8.006204460273231
2.1 -7.988063862168086 -8.001738744367477
2.2 -7.983363859183912 -7.997035898813087
2.3 -7.978572662794958 -7.992242512013139
2.4 -7.97379505681542 -7.987463432259845
2.5 -7.969106504033706 -7.98277384343289
2.6 -7.964561945426669 -7.978228355629417
2.7 -7.960201770917593 -7.973867064845924
2.8 -7.956055625456084 -7.969719431687609
2.9 -7.95214465352521 -7.965806541642414
3.0 -7.948482692691237 -7.962142275560025
