"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.89882607393829 -7.916934026382576
1.1 -7.938356941979694 -7.956210535011523
1.2 -7.964772472307405 -7.982332205663851
1.3 -7.981804838911099 -7.999069226459035
1.4 -7.992117482172654 -8.00910589920344
1.5 -7.997621742829186 -8.014363663377846
1.6 -7.999699218224923 -8.016227618658933
1.7 -7.999356031988016 -8.01570316967584
1.8 -7.997329248409056 -8.013523970122602
1.9 -7.994160311668898 -8.010226577364696
2.0 -7.990246275291742 -8.006202719524603
2.1 -7.985876470951337 -8.001736796578127
2.2 -7.981259767907934 -7.997033707471949
2.3 -7.976545561444336 -7.992224053193359
2.4 -7.971840161298276 -7.987444098026929
2.5 -7.967219390590316 -7.982753576328826
2.6 -7.962737872076455 -7.978207402295065
2.7 -7.95843546143866 -7.973845747447672
2.8 -7.954341365933528 -7.96969806394779
2.9 -7.9504765270524365 -7.965785438522195
3.0 -7.94685481925902 -7.962121924944584
