"Bond Length" "CASCI Energy" "CASSCF Energy"
1.0 -7.881645438391354 -7.910812324087667
1.1 -7.921460655854076 -7.9502008631244605
1.2 -7.947824999646244 -7.976390711632774
1.3 -7.964558322563891 -7.993193549601749
1.4 -7.974386733177286 -8.003321387973527
1.5 -7.979264124824492 -8.008710604799685
1.6 -7.980599215125315 -8.010749317262347
1.7 -7.97941352769442 -8.010436280269637
1.8 -7.976451232672805 -8.008492525704161
1.9 -7.972255925605528 -8.005440126066947
2.0 -7.967224768696881 -8.001657855254349
2.1 -7.9616472143593935 -7.9974207293966275
2.2 -7.955733275896136 -7.992928453565619
2.3 -7.949634614523087 -7.988326202042756
2.4 -7.943460455038577 -7.983719896478418
2.5 -7.937289530914995 -7.979187319355328
2.6 -7.931178853908532 -7.974785973779145
2.7 -7.925169962558722 -7.970558415355381
2.8 -7.919293258466598 -7.966535677386579
2.9 -7.913570976908567 -7.962739364265039
3.0 -7.908019234326042 -7.959182835607731
