
2298.2691,-54
2300.4028,-52
2302.5128,-50
2304.6577,-48
2306.7891,-46
2308.9144,-44
2311.0275,-42
2313.1035,-40
2315.1075,-38
2317.0931,-36
2319.0431,-34
2321.012,-32
2322.9901,-30
2324.8772,-28
2326.7535,-26
2328.6161,-24
2330.4454,-22
2332.2582,-20
2334.0423,-18
2335.8185,-16
2337.5456,-14
2339.2596,-12
2340.959,-10
2342.6196,-8
2344.2511,-6
2345.8758,-4
2347.4771,-2
2349.7833,1
2351.3588,3
2352.8676,5
2354.3492,7
2355.7651,9
2357.2337,11
2358.6211,13
2360.001,15
2361.3671,17
2362.6796,19
2363.9978,21
2365.2652,23
2366.5223,25
2367.7571,27
2368.9785,29
2370.1442,31
2371.31,33
2372.4474,35
2373.5466,37
2374.6289,39
2375.6901,41
2376.7291,43
2377.736,45
2378.7181,47
2379.6691,49
2380.601,51
2381.5042,53
2382.3881,55
2383.2528,57
2384.0695,59
2384.8765,61
2385.674,63
