#Bond_length       E0                E1                      E2
1.0	-199.68814062072232	-199.46258951016844	-199.4045407439892
1.1	-199.77400970851062	-199.5532777415724	-199.49089193075375
1.2	-199.83127981835875	-199.61759895566271	-199.55215172812672
1.3	-199.86836833019336	-199.66329622703995	-199.59583032526555
1.4	-199.8914343304948	-199.69578773453117	-199.6271483132316
1.5	-199.90479764753397	-199.71880685521103	-199.6496880060695
1.6	-199.91143655724352	-199.73490058067338	-199.66590426218463
1.7	-199.91343249449693	-199.74581793325606	-199.6775046147124
1.8	-199.91228056221593	-199.75278719783137	-199.68570514936633
1.9	-199.90907900968426	-199.7567002318816	-199.69139258478037
2.0	-199.90464206114032	-199.7582310380934	-199.6952265306025
2.1	-199.8995708684624	-199.75791060423865	-199.69770574921853
2.2	-199.89430197888694	-199.75617288703177	-199.69921208096562
2.3	-199.8891429924968	-199.75338206390094	-199.7000398236235
2.4	-199.88430031133157	-199.74984806211694	-199.70041551862167
2.5	-199.87990155990536	-199.7458350448223	-199.70051151283144
2.6	-199.8760140440868	-199.74156589608867	-199.70045562834142
2.7	-199.8726600252213	-199.73722475790072	-199.70033861827028
2.8	-199.8698293487043	-199.73295905447392	-199.7002206161058
2.9	-199.86748984430432	-199.72888191302079	-199.7001372872725
3.0	-199.8655957791969	-199.72507536075878	-199.70010584440834
3.1	-199.86409450646033	-199.72159420893254	-199.70013065975215
3.2	-199.86293138767485	-199.71847022908568	-199.70020805245966
3.3	-199.86205312071553	-199.71571615450756	-199.70032994537186
3.4	-199.86140974002683	-199.71332920184446	-199.70048634625667
3.5	-199.86095568563033	-199.7112941089937	-199.7006668581988

