0.25	-0.4127330993	0.2119501873	0.06123442766	0.06116889309	0.2124906607	0.06097583578	0.2141078114	0.06066548548	0.2167892299	0.06025362426	0.2205154679	0.05975998671	0.2252615887	0.05682838356	0.2632277079
0.2676767677	-0.5228706468	0.09506442549	-0.0489031198	-0.04897530266	0.09561246498	-0.04918780036	0.09725180679	-0.0495289602	0.09996861051	-0.04998090051	0.1037413139	-0.05052142991	0.1085425012	-0.0537117422	0.1468333942
0.2853535354	-0.6159386738	-0.004721647861	-0.1419711468	-0.142050824	-0.004165182615	-0.1422851971	-0.002501173196	-0.142660908	0.000254827459	-0.1431575815	0.004078750452	-0.1437501458	0.008940279194	-0.1472218254	0.04757981214
0.303030303	-0.6950456923	-0.09049051363	-0.2210781653	-0.2211662859	-0.08992468977	-0.2214252553	-0.08823334013	-0.221839666	-0.08543407281	-0.2223861762	-0.08155393361	-0.2230363378	-0.07662663254	-0.2268127082	-0.03761599738
0.3207070707	-0.7626159956	-0.1646428475	-0.2886484686	-0.288746101	-0.1640666492	-0.2890327161	-0.1623450673	-0.2894904353	-0.1594981839	-0.2900923821	-0.1555565862	-0.2908061516	-0.1505579524	-0.2949110907	-0.1111556868
0.3383838384	-0.82056700:wq
:q!
41	-0.2290748421	-0.3465994771	-0.346707829	-0.2284871563	-0.3470255187	-0.2267321957	-0.3475316786	-0.2238330311	-0.3481952125	-0.21982447	-0.3489790804	-0.2147488293	-0.3534369101	-0.1749368034
0.3560606061	-0.8704340233	-0.2853032687	-0.3964664963	-0.3965869388	-0.2847028642	-0.3969395734	-0.2829110726	-0.3974999032	-0.279954589	-0.3982317855	-0.2758732601	-0.3990927544	-0.2707148211	-0.4039281175	-0.2304776311
0.3737373737	-0.9134597326	-0.334555725	-0.4394922056	-0.4396263022	-0.333941223	-0.4400182668	-0.332108767	-0.4406391783	-0.3290894655	-0.4414468465	-0.3249291951	-0.4423924604	-0.319682014	-0.4476301697	-0.279007066
0.3914141414	-0.950659564	-0.3778372585	-0.476692037	-0.47684158	-0.3772070891	-0.4772778646	-0.375329644	-0.4779665513	-0.3722414316	-0.4788581896	-0.3679955593	-0.4798965589	-0.3626534548	-0.485561404	-0.3215306728
0.4090909091	-0.9828703007	-0.4159805067	-0.5089027737	-0.5090698311	-0.4153328476	-0.5095561433	-0.4134054402	-0.5103207012	-0.4102414359	-0.5113053189	-0.405902634	-0.5124451404	-0.4004590379	-0.5185616345	-0.3588800957
0.4267676768	-1.010786783	-0.4496837686	-0.5368192559	-0.5370062336	-0.4490164599	-0.5375491469	-0.4470332519	-0.5383987263	-0.4437855213	-0.5394862496	-0.4393455455	-0.540736821	-0.4337932875	-0.5473288674	-0.3917503781
0.4444444444	-1.034990025	-0.4795396206	-0.5610224979	-0.5612322251	-0.478850051	-0.5618393786	-0.4768040538	-0.5627843812	-0.4734632705	-0.563985763	-0.4689126543	-0.5653569907	-0.4632437056	-0.5724474418	-0.4207280536
0.4621212121	-1.055969012	-0.5060557259	-0.5820014846	-0.5822373336	-0.505340684	-0.5829177052	-0.5032234005	-0.5839700394	-0.4997784493	-0.5852973875	-0.495106179	-0.5867997794	-0.4893114099	-0.5944098524	-0.4463119331
0.4797979798	-1.074137767	-0.5296692821	-0.6001702396	-0.6004362932	-0.5289247673	-0.6012005687	-0.5267257566	-0.602373973	-0.5231633019	-0.6038406863	-0.5183565305	-0.6054853109	-0.512425561	-0.6136338269	-0.4689281783
0.4974747475	-1.089848826	-0.5507568193	-0.6158812993	-0.6161825852	-0.5499777977	-0.6170436544	-0.5476841506	-0.6183540881	-0.5439881977	-0.6199749728	-0.5390320627	-0.621773352	-0.5329532868	-0.6304757718	-0.4889412661
